NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	cell_type	cell_type__ontology_label	preservation_method	organ_region	organ_region__ontology_label	cell_type__custom
AF_95	AF_D02_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_96	AF_D02_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Astrocyte
AF_97	AF_D02_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Astrocyte
AF_98	AF_D02_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Astrocyte
AF_99	AF_D02_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Astrocyte
AF_100	AF_D02_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Purkinje
AF_101	AF_D02_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_102	AF_D02_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_103	AF_D02_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_104	AF_D02_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_105	AF_D02_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_106	AF_D02_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_107	AF_D02_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_108	AF_D02_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_109	AF_D02_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_110	AF_D02_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D02	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000985	Primary motor area	Bergmann
AF_111	AF_D01_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_112	AF_D01_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Purkinje
AF_113	AF_D01_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Astrocyte
AF_114	AF_D01_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_115	AF_D01_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Astrocyte
AF_116	AF_D01_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Astrocyte
AF_117	AF_D01_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Astrocyte
AF_118	AF_D01_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_119	AF_D01_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Astrocyte
AF_120	AF_D01_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_121	AF_D01_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000985	Primary motor area	Astrocyte
AF_122	AF_D01_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000985	Primary motor area	Purkinje
AF_123	AF_D01_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000985	Primary motor area	Astrocyte
AF_124	AF_D01_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000985	Primary motor area	Astrocyte
AF_125	AF_D01_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000985	Primary motor area	Astrocyte
AF_126	AF_D01_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000985	Primary motor area	Astrocyte
AF_127	AF_D01_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000985	Primary motor area	Astrocyte
AF_128	AF_D01_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000985	Primary motor area	Astrocyte
AF_129	AF_D01_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000985	Primary motor area	Astrocyte
AF_130	AF_D01_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D01	NCBITaxon_10090	Mus musculus	male	no	CL_0000561	amacrine cell	Frozen	MBA:000000985	Primary motor area	Astrocyte
